Groupe;zone;n_rel;code_rel;versant;latitude;longitude;espece_arbre_dominante;rec_espece_dominante_arboree;rec_tot;AJUIVA;APHMON;ARBUNE;ARUITA;ASPACU;ASTsp;BELSYL;BISLAE;BITBIT;BOTISC;BRARET;BROERE;BUPRIG;CARHAL;CARHUM;CENPAN;CEPLEU;CIRARV;CIRMON;CISALB;CISMON;CLEFLA;CLEVIT;CLINEP;CONMAC;CORVAL;CREBUR;CRESAN;CREsp;CUPSEM;DACHIS;DORPEN;ECHVUL;ERICAN;EUPCHA;EUPCYP;EUPsp;FRAORN;FUMCAP;GALAPA;GERROB;GERROT;GLOBIS;HEDHEL;HIEGLA;HIEsp;HIMROB;JUNOXY;LACPER;LACVIR;LAUNOB;LINNAR;LINSP;LONIMP;LONJAP;NARASS;ONOMIN;ONONAT;PANMIL;PETSED;PHIANG;PHILAT;PICHIE;PILOFI;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POTSAN;QUECOC;QUEILE;QUEPUB;REIPIC;RHAALA;ROSCAN;RUBPER;RUBSP;RUSACU;SALVER;SAMASP;SATMON;SCAMAR;SCOHIS;SEDACR;SHEARV;SILITA;SMIASP;SOLSP;SONOLE;SONTER;STAREC;TARsp;THYVUL;TORARV;TRIFSP;TEUCHA;TYRLEU;VIBTIN;VINHIR;VINNIG;VULBRO;ACAMOL;APIsp;STEMED;OSYALB;MUSNEG;SONsp;CIRsp;SPISPI;CARSYL;EUPHELI;MEDsp;MERANN;ALLsp;HELsp;CELAUS;SEDSED;ALOPRA;ARGZAN;VICPIS;VERsp;CELOCC;LIGSIN;PLOsp;GERPUR;ANTCER
B;9;1;B9_1;S;43,6393943;3,8679412;PINHAL;75;80;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;35;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;9;2;B9_2;S;43,639305;3,8682849;PINHAL;46;65;0;0;0;0;0;0;0;0;10;0;0;0;0;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;10;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;9;3;B9_3;S;43,6395734;3,8684807;QUEILE;27;64;0;0;0;0;0;0;0;0;9;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;4;1;B4_1;N;43,6423173;3,87020996;PINHAL;70;0;0;0;0;0;10;0;0;0;5;0;12;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;4;2;B4_2;N;43,6421677;3,87021842;PINHAL;50;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;5;0;4;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;4;3;B4_3;N;43,6422772;3,8702453;PINHAL;10;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;2;15;0;0;0;0;1;0;0;0;8;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;1;1;A1_1;N;43,64233;3,86933;NA;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;30;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;1;2;A1_2;N;43,64231;3,86839;NA;NA;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;2;0;0;0;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;1;3;A1_3;N;43,64208;3,8688;NA;NA;0;0;0;0;0;2;0;0;0;10;0;0;0;0;0;12;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;1;0;5;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;6;1;B6_1;N;43,643671;3,868791;PINHAL;60;70;0;30;7;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;7;0;0;7;0;1;0;0;15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
