groupe;espece;code_espece;individus;chlorophylle;type_biologique;
gB6;rubia_peregrina;RUBPER;1;38,1;hemicryptophyte;
gB6;rubia_peregrina;RUBPER;2;38;hemicryptophyte;
gB6;rubia_peregrina;RUBPER;3;37,8;hemicryptophyte;
gB4;viburnum_tinus;VIBTIN;1;39,6;nanophanerophyte;
gB4;quercus_coccifera;QUECOC;1;38,7;nanophanerophyte;
gB4;hieracium_sp;HIEsp;1;40,6;hemicryptophyte;
gA1;geranium_robertianum;GERROB;1;15,9;therophyte;
gA1;bellis_sylvestris;BELSYL;1;38,6;vivace;
gB6;rhamnus_alaternus;RHAALA;1;59;microphanerophyte;
gB12;quercus_pubescens;QUEPUB;1;40,1;phanerophyte ;
gB12;quercus_pubescens;QUEPUB;2;38,7;phanerophyte ;
gB12;quercus_pubescens;QUEPUB;3;39,1;phanerophyte ;
gB12;bromus_erectus;BROERE;1;40,1;hemicryptophyte;
gB12;bromus_erectus;BROERE;2;35,3;hemicryptophyte;
gB12;bromus_erectus;BROERE;3;35,9;hemicryptophyte;
gB9;acanthus_mollis;ACAMOL;1;53,3;hemicryptophyte;
gB9;acanthus_mollis;ACAMOL;2;50,6;hemicryptophyte;
gB9;acanthus_mollis;ACAMOL;3;48,2;hemicryptophyte;
gB9;viburnum_tinus;VIBTIN;1;40;macrophanerophyte;
gB9;viburnum_tinus;VIBTIN;2;42,9;macrophanerophyte;
gB9;viburnum_tinus;VIBTIN;3;40,5;macrophanerophyte;
gA10;sonchus_oleraceus;SONOLE;1;24,8;hemicryptophyte;
gA10;sonchus_oleraceus;SONOLE;2;25,4;hemicryptophyte;
gA10;linum_narbonense;LINNAR;1;50,7;hemicryptophyte;
gA10;linum_narbonense;LINNAR;2;56,3;hemicryptophyte;
gA10;pistacia_lentisus;PISLEN;1;57,6;phanerophyte ;
gA10;pistacia_lentisus;PISLEN;2;53;phanerophyte ;
gA7;vibrunum_tinus;VIBTIN;1;37,3;macrophanerophyte;
gA7;vibrunum_tinus;VIBTIN;2;37,1;macrophanerophyte;
gA7;vibrunum_tinus;VIBTIN;3;35,3;macrophanerophyte;
gA7;ruscus_acuelata;RUSACU;1;74,7;chamephyte;
gA7;vibrunum_tinus;RUSACU;2;75;chamephyte;
gA7;ruscus_acuelata;RUSACU;3;70;chamephyte;
gA8;plantago_lanceolata;PLALAN;1;54,3;hemicryptophyte;
gA8;plantago_lanceolata;PLALAN;2;64,1;hemicryptophyte;
gA8;plantago_lanceolata;PLALAN;3;78,8;hemicryptophyte;
gA8;trifolium_sp;TRIFSP;1;48,8;hemicryptophyte;
gA8;trifolium_sp;TRIFSP;2;38,9;hemicryptophyte;
gA8;trifolium_sp;TRIFSP;3;39,9;hemicryptophyte;
gB10;muscari_neglectum;MUSNEG;1;12,9;geophyte;
gB10;muscari_neglectum;MUSNEG;2;12,6;geophyte;
gB10;muscari_neglectum;MUSNEG;3;17;geophyte;
gB10;osyris_alba;OSYALB;1;22,7;chamephyte;
gB10;crepis_sp;CREsp;1;39;therophyte;
gB10;pistacia_therebintus;PISTHE;1;53,2;phanerophyte;
gA4;quercus_pubescent;QUEPUB;1;37,21;phanerophyte ;
gA4;quercus_pubescent;QUEPUB;2;42,7;phanerophyte ;
gA4;quercus_pubescent;QUEPUB;3;42,5;phanerophyte ;
gA4;dactylis_hispanica;DACHIS;1;45,61;hemicryptophyte;
gA4;dactylis_hispanica;DACHIS;2;46,5;hemicryptophyte;
gA4;dactylis_hispanica;DACHIS;3;46,42;hemicryptophyte;
gB11;crepis_sp;CREsp;1;32,6;hemicryptophyte;
gB11;crepis_sp;CREsp;2;32,2;hemicryptophyte;
gB11;crepis_sp;CREsp;3;29;hemicryptophyte;
gB11;lonicera_implexa;LONIMP;1;33,3;nanophanerophyte;
gB11;lonicera_implexa;LONIMP;2;37,2;nanophanerophyte;
gB11;lonicera_implexa;LONIMP;3;37,1;hemicryptophyte;
gA9;clematis_flammula;CLEFLA;1;47;chamephyte;
gA9;clematis_flammula;CLEFLA;2;61;chamephyte;
gA9;clematis_flammula;CLEFLA;3;52,7;chamephyte;
gA9;gallium_aparine;GALAPA;1;15,9;therophyte;
gA9;gallium_aparine;GALAPA;2;17;therophyte;
gA9;gallium_aparine;GALAPA;3;17,1;therophyte;
gA5;thymus_vulgaris;THYVUL;1;8,3;chamephyte;
gA5;thymus_vulgaris;THYVUL;2;4,5;chamephyte;
gA5;thymus_vulgaris;THYVUL;3;3,2;chamephyte;
gA5;mercurialis_annua;MERANN;1;36,7;therophyte;
gA5;mercurialis_annua;MERANN;2;35,1;therophyte;
gA5;mercurialis_annua;MERANN;3;30,1;therophyte;
gB13;phillyrea_latifolia;PHILAT;1;49,5;microphanerophyte;
gB13;phillyrea_latifolia;PHILAT;2;50;microphanerophyte;
gB13;phillyrea_latifolia;PHILAT;3;41,1;microphanerophyte;
gB13;silene_italica;SILITA;1;52;hemicryptophyte;
gB13;silene_italica;SILITA;2;45,7;hemicryptophyte;
gB13;silene_italica;SILITA;3;51,2;hemicryptophyte;
gB10bis;crepis_sancta;CRESAN;1;22,2;therophyte;
gB10bis;crepis_sancta;CRESAN;2;25,9;therophyte;
gB10bis;crepis_sancta;CRESAN;3;21;therophyte;
gB10bis;geranium_purpureum;GERPUR;1;9,9;therophyte;
gB10bis;geranium_purpureum;GERPUR;2;14,7;therophyte;
gB10bis;geranium_purpureum;GERPUR;3;11,2;therophyte;
gA13;arum_italicum;ARUITA;1;40,2;geophyte;
gA13;arum_italicum;ARUITA;2;49,62;geophyte;
gA13;arum_italicum;ARUITA;3;32;geophyte;
gA13;rubia_peregrina;RUBPER;1;47;therophyte;
gA13;rubia_peregrina;RUBPER;2;45,7;therophyte;
gA13;rubia_peregrina;RUBPER;3;50,8;therophyte;
gA14;smilax_aspera;SMIASP;1;49,1;chamephyte;
gA14;pistachia_terebenthus;PISTER;1;53,9;microphanerophyte;
gA3;quercus_ilex;QUEILE;1;54,46;phanerophyte;
gA3;quercus_ilex;QUEILE;2;50,52;phanerophyte;
gA3;quercus_ilex;QUEILE;3;53,82;phanerophyte;
gA3;quercus_coccifera;QUECOC;1;37,15;nanophanerophyte;
gA3;quercus_coccifera;QUECOC;2;41,73;nanophanerophyte;
gA3;quercus_coccifera;QUECOC;3;43,02;nanophanerophyte;
gB8;geranium_rotundifolium;GERROT;1;32,8;therophyte;
gB8;geranium_rotundifolium;GERROT;2;31,3;therophyte;
gB8;geranium_rotundifolium;GERROT;3;31,2;therophyte;
