groupe;versant;zone;genre;espece;SPAD_1;SPAD_2;SPAD_3;SPAD_4;SPAD_5;chlorophylle;type_biologique;Observations
A;N;12;Bellis;perennis;39;37,4;40,4;38,1;33,4;37,66;Hémicryptophyte;
A;N;4;Brassica;jungea;34,5;44,5;32,4;43,9;41,5;39,36;Phanérophyte;
A;N;4;Calendula;arvensis;26,5;25,1;29,7;28,9;24,1;26,86;Phanérophyte;
A;N;11;Cistus;albidus;34,6;32,3;33;30,7;30,6;32,24;Chaméphyte;SPAD 4 et 5 corrigés
B;N;1;Clematis;armandii;29,5;32,6;31,6;32,3;59,2;37,04;Chaméphyte;
B;S;4;Clematis ;flammula;59,9;46,9;43,7;45,2;41,5;47,44;Chaméphyte;
A;S;1;Hedera;helix;62,2;47,7;51,8;56,6;50,9;53,84;Phanérophyte;
B;N;11;Lonicera;implexa;51,3;51,5;49,7;51,4;54,6;51,7;Chaméphyte;Complété
A;S;8;Pistacia;terebinthus;39,3;45,1;45,4;46,7;33,1;41,92;Phanérophyte;
A;N;4;Plantago;argentea;14,2;53,1;38,6;39,9;45,6;38,28;Hémicryptophyte;
A;N;12;Plantago;lanceolata;48,7;32,6;26,7;36,6;40,6;37,04;Hémicryptophyte;
B;N;7bis;Quercus;coccifera;41,6;45,8;45,7;41,8;54,7;45,92;Phanérophyte;
B;S;10;Quercus;coccifera;49,5;42,3;39,3;35,1;45,8;42,4;Phanérophyte;
A;N;10;Quercus;ilex;58,2;57,1;59,5;57,6;54,3;57,34;Phanérophyte;
B;N;9;Quercus;ilex;49,7;48,2;51,4;40,5;48;47,56;Phanérophyte;
A;N;7;Quercus ;coccifera;42,7;40,6;43;41,3;40,3;41,58;Phanérophyte;
A;N;7;Quercus ;coccifera;41,3;46,4;42,5;43,8;49,6;44,72;Phanérophyte;
B;N;7;Quercus ;coccifera;42,1;37,9;43,6;40,7;39,9;40,84;Phanérophyte;
B;S;6;Quercus ;coccifera;35,8;51,4;49,5;42,9;62,4;48,4;Phanérophyte;
A;N;4;Quercus ;faginea;56,9;59;57,5;50,6;57,5;56,3;Phanérophyte;
A;N;6;Quercus ;ilex;47,2;43,5;49,3;46,4;53,8;48,04;Phanérophyte;
A;N;8;Quercus ;ilex;57,9;56,1;50,3;51,1;56,5;54,38;Phanérophyte;
A;S;8;Quercus ;ilex;73,1;72,6;49,3;47,7;73,3;63,2;Phanérophyte;
B;N;11;Quercus ;ilex;54;53,1;52,3;54,1;51,4;52,98;Phanérophyte;
B;S;7;Quercus ;ilex;53,9;52,5;53,1;50,6;49,2;51,86;Phanérophyte;
A;S;1;Ruscus;aculeatus;61,1;59,9;67;63,2;50,5;60,34;Chaméphyte;
B;N;7bis;Ruscus;aculeatus;65,6;71,5;68,7;62,9;60,3;65,8;Chaméphyte;
A;N;4;Scabiosa ;atropurpurea;48,7;34,7;47,7;59,2;41,1;46,28;Phanérophyte;
B;N;9;Scabiosa ;sp;41,2;41;35,7;38,2;35;38,22;Thérophyte;
B;N;8;Silene;italica;47,1;41,9;51,7;43,7;45,4;45,96;Thérophyte;
A;N;5;Smilax;aspera ;42;43,6;47,8;63,1;42,9;47,88;Phanérophyte;
A;S;99;Smilax;aspera ;50,4;63,9;66,9;51,6;65,2;59,6;Phanérophyte;
B;S;7;Smilax;aspera ;59,5;49,9;54,8;65,3;45,7;55,04;Phanérophyte;
A;S;1;Smilax ;aspera ;49;43,9;50,1;53,4;59,4;51,16;Phanérophyte;
A;S;12;Smilax ;aspera ;63,3;54,3;41,8;39,3;43,2;48,38;Phanérophyte;
B;N;7;Smilax ;aspera ;54,9;52,1;47,3;53,8;65,5;54,72;Phanérophyte;
B;N;8;Smilax ;aspera ;34,2;65,2;23,8;54,8;47,4;45,08;Phanérophyte;
B;N;1;Tyrimnus ;leucographus ;21,7;25,3;25,2;20,7;23,2;23,22;Hémicryptophyte;
A;N;4;Viburnum;tinus;38,1;41,1;43,2;34,3;37,5;38,84;Phanérophyte;
A;N;5;Viburnum;tinus;60,4;51,2;56,9;54,7;57,5;56,14;Phanérophyte;
A;N;6;Viburnum;tinus;51,6;49,8;50,8;53,6;50,3;51,22;Phanérophyte;
A;N;7;Viburnum;tinus;50,2;49,1;53,7;46,9;53,6;50,7;Phanérophyte;
A;N;7;Viburnum;tinus;45,1;49,2;51;53,3;54,6;50,64;Phanérophyte;
A;N;10;Viburnum;tinus;55,5;44,4;50,4;53,1;56;51,88;Phanérophyte;
A;N;11;Viburnum;tinus;53,8;48,5;46,2;50,1;44,4;48,6;Phanérophyte;
A;N;8bis;Viburnum;tinus;54,1;58,7;55,8;54,7;52,2;55,1;Phanérophyte;
A;S;1;Viburnum;tinus;50,4;50,4;38,8;44,3;42,3;45,24;Phanérophyte;
A;S;12;Viburnum;tinus;50;50,8;56,4;57,7;57,7;54,52;Phanérophyte;
A;S;99;Viburnum;tinus;55,4;57,2;66,4;57,4;58,4;58,96;Phanérophyte;
B;S;4;Viburnum;tinus;46,8;56,4;57,5;46,2;55;52,38;Phanérophyte;
B;S;6;Viburnum;tinus;54,1;48,2;49,3;57,9;48;51,5;Phanérophyte;
B;S;10;Viburnum;tinus;51,1;46,8;46;48,7;45,3;47,58;Phanérophyte;
