Groupe;versant;zone;n_releve;code_releve;latitude;longitude;genre_arbre_dominant;espece_arbre_dominante;rec_espece_dominante_arboree;Invalide;Observations;Latitude_degres;Longitude_degres;D1;M1;S1;Latitude_calculee;D2;M2;S2;Latitude_calculee
A;N;4;1;AN4_1;43,6396636;3,8700682;Plantago;subulata;3;;;;;;;;;;;;
A;N;4;2;AN4_2;43,6397185;3,8702;Geranium;sp;3;;;;;;;;;;;;
A;N;4;3;AN4_3;43,6398985;3,8703042;Brachypodium;retusum;3;;;;;;;;;;;;
A;N;5;1;AN5_1;43,63305556;46,63305556;Pinus;halepensis;5;;;"43°37'59""";"3°52'9""";43;0,616666667;0,016388889;43,63305556;3;0,866666667;0,0025;46,63305556
A;N;5;2;AN5_2;43,64027778;46,64027778;Pinus;halepensis;5;;;"43°38'25""";"3°52'11""";43;0,633333333;0,006944444;43,64027778;3;0,866666667;0,003055556;46,64027778
A;N;5;3;AN5_3;43,64055556;46,64055556;Pinus ;halepensis;4;;;"43°38'26""";"3°52'12""";43;0,633333333;0,007222222;43,64055556;3;0,866666667;0,003333333;46,64055556
A;N;6;1;AN6_1;43,64337;3,86853;Pinus;halepensis;5;;;;;;;;;;;;
A;N;6;2;AN6_2;43,64316;3,86867;Pinus;pinaster;5;;;;;;;;;;;;
A;N;6;3;AN6_3;43,64338;3,86879;Pinus;pinaster;5;;;;;;;;;;;;
A;N;7;1;AN7_1;43,38579;3,5205;Quercus;ilex;;;;;;;;;;;;;
A;N;7;2;AN7_2;43,38573;3,52037;Quercus;ilex;;;;;;;;;;;;;
A;N;7;3;AN7_3;43,38565;3,52038;Quercus;ilex;;;;;;;;;;;;;
A;N;8;1;AN8_1;43,6525;46,6525;Pinus;halepensis;5;;;"43°39'9""";"3°52'13""";43;0,65;0,0025;43,6525;3;0,866666667;0,003611111;46,6525
A;N;8;2;AN8_2;43,6525;46,6525;Quercus;suber;5;;;"43°39'9""";"3°52'13""";43;0,65;0,0025;43,6525;3;0,866666667;0,003611111;46,6525
A;N;8;3;AN8_3;43,6525;46,6525;Pinus;halepensis;4;;;"43°39'9""";"3°52'13""";43;0,65;0,0025;43,6525;3;0,866666667;0,003611111;46,6525
A;N;11;1;AN11_1;43,64337;3,86929;Cupressus;sp;;;;;;;;;;;;;
A;N;11;2;AN11_2;43,64342;3,86962;Arbustus;unedo;;;;;;;;;;;;;
A;N;11;3;AN11_3;43,64349;3,8695;Pinus;sylvestris;;;;;;;;;;;;;
A;S;1;1;AS1_1;43,63985;3,86783;Quercus;ilex;5;;;;;;;;;;;;
A;S;1;2;AS1_2;43,63996;3,868;Pinus;halepensis;2;;;;;;;;;;;;
A;S;1;3;AS1_3;43,63996;4,86759;Quercus;ilex;4;;;;;;;;;;;;
A;S;12;1;AS12_1;43,38588;3,52139;Quercus;ilex;3;;;;;;;;;;;;
A;S;12;2;AS12_2;43,38585;3,52144;Pinus;halepensis;4;;;;;;;;;;;;
A;S;12;3;AS12_3;43,38583;3,52162;Pinus;halepensis;1;;;;;;;;;;;;
A;S;99;1;AS99_1;43,6398;3,8683;Quercus;ilex;4;;;;;;;;;;;;
A;S;99;2;AS99_2;43,6398;3,8687;Quercus;ilex;5;;;;;;;;;;;;
A;S;99;3;AS99_3;43,64;3,8688;Quercus;ilex;3;;;;;;;;;;;;
